Index,country,year,Lnrgdpo,Lnlabor_stock,Lncapital_stock,RL,GS,RE,MO,LnRL,LnGS,LnRE,LnMO
327,Latvia,2007,10.6737139493962,8.69425953596884,12.8255865419764,46,72.6,71.8666666666667,75.5333333333333,3.8286413964891,4.28496492183075,4.27481255036673,4.3245740599258
328,Latvia,2008,10.7285287630244,8.75231411240392,12.8471378856882,51,71.2646,70.8990168533333,75.3333333333333,3.93182563272433,4.26639971043781,4.26125656677527,4.32192271060418
329,Latvia,2009,10.5880849083809,8.58077990075975,12.8518802709726,51.5,70.3716,68.8267778166667,71.9333333333333,3.94158180766969,4.25378977268175,4.23159288166733,4.27573976415592
330,Latvia,2010,10.6201565004536,8.51606096768769,12.850163813482,52.5,70.05,66.3333333333333,72.5,3.96081316959758,4.24920927278302,4.19469253605638,4.28358656186063
331,Latvia,2011,10.7133900707128,8.55031027001261,12.8556405365177,47.5,69,69.2,72.5333333333333,3.8607297110406,4.23410650459726,4.23700086262362,4.28404622631368
332,Latvia,2012,10.7508560856492,8.56070008606937,12.8654170377996,46.5,64.05,71.3666666666667,72.3666666666667,3.83945231259331,4.15966402834274,4.26783090692753,4.28174578821614
333,Latvia,2013,10.7446822281083,8.5835984822749,12.8717617484325,46,69,72.8,72.2666666666667,3.8286413964891,4.23410650459726,4.28771595520264,4.28036298089738
334,Latvia,2014,10.7732764531339,8.57782834798413,12.8778230343627,46.8,69.75,76.9,74.2666666666667,3.8458832029236,4.24491742070148,4.3425058765116,4.30766221938502
335,Latvia,2015,10.8072140590595,8.57374035857672,12.8832064305259,51.5,71.8,75.8,74.3333333333333,3.94158180766969,4.27388447605418,4.32809829264833,4.30855948279201
336,Latvia,2016,10.8266545107601,8.57303301485359,12.8851574458012,52.5,71.6,74.3,77.6666666666667,3.96081316959758,4.2710950739666,4.30811095172371,4.35242616489759
337,Latvia,2017,10.8779794573393,8.56592749464462,12.8901352921361,66.5333333333334,79.0333333333333,79.4333333333333,74,4.19770307520926,4.36986970440325,4.37491809543659,4.30406509320417
338,Latvia,2018,10.91398942299,8.58955351150258,12.8990947615199,57.5333333333333,79.4333333333333,79.9666666666667,77.3,4.05236448998122,4.37491809543659,4.38160988117754,4.34769395559338
339,Latvia,2019,10.9345246306556,8.57128391178621,12.9076332251791,50.4,77,77.3,77,3.91999117507732,4.34380542185368,4.34769395559338,4.34380542185368
340,Lithuania,2000,10.6552042114629,8.92463036150695,12.2639603780416,40,66.9,71.15,67,3.68887945411394,4.20319896713418,4.26479032453586,4.20469261939097
341,Lithuania,2001,10.7225256098089,8.88919659511296,12.2790282458207,44,72,77.4,67.6,3.78418963391826,4.27666611901606,4.34898678059568,4.21360798304892
342,Lithuania,2002,10.7433835891201,8.91976707469305,12.297072095703,45.5,71.7,78.85,67.6,3.81771232595691,4.27249074760558,4.36754731340905,4.21360798304892
343,Lithuania,2003,10.8398840214013,8.94329553672172,12.3206021325176,49,75.15,79.05,73.4666666666667,3.89182029811063,4.31948611619898,4.37008056365548,4.29683178861065
344,Lithuania,2004,10.8496066953284,8.9956651033211,12.3492685035858,49,76.7,80.05,80.0666666666667,3.89182029811063,4.33990170837321,4.38265143944272,4.38285962097777
345,Lithuania,2005,10.9708230745232,9.02005254192974,12.3806072766439,48.5,73.95,71.9666666666667,81.3333333333333,3.88156379794344,4.30338918915681,4.27620304885265,4.39855593662509
346,Lithuania,2006,11.0317401151471,9.02286292073586,12.419828191801,48,73.4,77.5666666666667,80.8,3.87120101090789,4.29592393562047,4.35113778164014,4.39197696552705
347,Lithuania,2007,11.1125689264967,9.06189588502035,12.4688046531618,49,78.65,74.2333333333333,78.8666666666667,3.89182029811063,4.36500762950429,4.30721328559521,4.36775866287618
348,Lithuania,2008,11.1670339117953,9.06504303599115,12.5079873122643,49,77.3258,73.45418821,78.6666666666667,3.89182029811063,4.34802766446007,4.29666192223318,4.3652195163575
349,Lithuania,2009,11.0184932476516,8.94953206076734,12.5159899983247,49,76.47095,70.93287873,78.6,3.89182029811063,4.33691093015145,4.26173405989726,4.36437169943516
350,Lithuania,2010,11.0902899177857,8.9391928472882,12.524792971897,50.5,74.05,70.4333333333333,80.8333333333333,3.92197333628131,4.30474054071381,4.2546666359539,4.39238942170943
351,Lithuania,2011,11.1978101006119,8.94587089441736,12.5417566584574,54.5,72.05,70.6,82.5333333333333,3.9982007016692,4.27736032244553,4.2570301444992,4.41320225214233
352,Lithuania,2012,11.2548877493525,8.96944605891736,12.5561141281563,55,67.65,74.3666666666667,82.3666666666667,4.00733318523247,4.2143473546168,4.30900781277038,4.41118082432646
