"Model","FittedValues","Residuals"
"Pooled",12.8049507685776,-0.170583722618374
"Pooled",12.8248944541929,-0.213479624776063
"Pooled",12.8402146725809,-0.20793202738347
"Pooled",12.862166291708,-0.205310167416485
"Pooled",12.8783714767831,-0.1822627259751
"Pooled",12.9062513854782,-0.119715964788028
"Pooled",12.9407343519031,-0.134752978127548
"Pooled",12.9826581174014,-0.143062988414411
"Pooled",13.0019979066812,-0.126710630539799
"Pooled",12.9596296413191,-0.129954764305952
"Pooled",12.9788907533868,-0.117297349507442
"Pooled",12.9818261188855,-0.0768022314934957
"Pooled",12.9791455514464,-0.0560691328650853
"Pooled",12.9818041608619,-0.071691069907815
"Pooled",12.9692502622566,-0.0135933197254487
"Pooled",12.9284468355264,0.0445434727384137
"Pooled",12.9714078226395,0.0144278204458857
"Pooled",13.0218753955344,0.0132546029669564
"Pooled",13.027135508905,0.0353945272877596
"Pooled",13.0321677987185,0.0445819140954624
"Pooled",12.6404942608355,0.116323155536806
"Pooled",12.6576075951586,0.104639925149483
"Pooled",12.7280231856709,0.0616403556533091
"Pooled",12.7722727818605,0.0604500231491006
"Pooled",12.8335954188684,0.0247250985149111
"Pooled",12.8897013945449,0.0801415047809282
"Pooled",12.888902238036,0.0524317973051993
"Pooled",12.8358337999982,0.135740771392964
"Pooled",12.8373027733156,0.217820637330502
"Pooled",12.8351137749241,0.186029392803243
"Pooled",12.8800913598844,0.220706328192913
"Pooled",12.8753661834208,0.222203159062638
"Pooled",12.8783354087243,0.2275186873617
"Pooled",12.9180658930995,0.185244052541618
"Pooled",12.9210356701732,0.187817922155272
"Pooled",12.9399766837315,0.150183763178142
"Pooled",12.9729953600114,0.135128046048534
"Pooled",12.9836848241036,0.169409241431223
"Pooled",13.0038435908246,0.133552354228661
"Pooled",13.017694853963,0.13891486566986
"Pooled",11.1585879665187,0.126548800127592
"Pooled",11.1546361114438,0.153091237243951
"Pooled",11.1179698240331,0.226107903184954
"Pooled",11.206335404722,0.167073380762367
"Pooled",11.1618176754452,0.255554924024856
"Pooled",11.1633310019517,0.358103238622135
"Pooled",11.232084039525,0.346458563884673
"Pooled",11.3225105317621,0.332472269042221
"Pooled",11.4092143368997,0.314358298846087
"Pooled",11.4194698221399,0.268217380963474
"Pooled",11.370381808895,0.354596178687779
"Pooled",11.3801925211596,0.333716069154642
"Pooled",11.3781054331207,0.360113270928411
"Pooled",11.4018925493181,0.28623131130162
"Pooled",11.4327619059606,0.286702323231971
"Pooled",11.4979700028933,0.257040485686003
"Pooled",11.5248837045367,0.276914178829881
"Pooled",11.7123686861273,0.130325683071032
"Pooled",11.7453650192412,0.130693848227776
"Pooled",11.7545599866354,0.160039555390226
"Pooled",11.179368896348,-0.186349940506549
"Pooled",11.0423007064758,-0.00414006225642952
"Pooled",11.1099920228987,0.000543133169477606
"Pooled",11.1687538947639,0.00440027266313259
"Pooled",11.1607017813615,0.0404325808534701
"Pooled",11.1987721400517,0.0844036259818505
"Pooled",11.2313088186449,0.142252023445748
"Pooled",11.2722607896427,0.178812791944487
"Pooled",11.3071175404208,0.203100904499543
"Pooled",11.3666483746923,0.0914996081515617
"Pooled",11.4574294836219,-0.0100122598158116
"Pooled",11.4215642256763,0.0583313173368906
"Pooled",11.3999983002091,0.0807369980459923
"Pooled",11.388152191945,0.0424785392558877
"Pooled",11.4124883288772,0.0104891788418375
"Pooled",11.4628731956949,0.00338583667199756
"Pooled",11.4322397733497,0.0622830214269754
"Pooled",11.6184217120583,-0.0465106147401998
"Pooled",11.6471684558512,-0.0917139791440567
"Pooled",11.6269261544034,-0.0426848202791122
"Pooled",9.71889433299447,0.1396466213141
"Pooled",9.87049636764076,0.0160921661698227
"Pooled",10.0177860974815,-0.160710884085918
"Pooled",10.0502264596381,-0.247762918860265
"Pooled",10.0875559719649,-0.263894451359465
"Pooled",10.0813604802929,-0.111851406465938
"Pooled",10.0615038665105,-0.0574711037822324
"Pooled",10.1370651655531,-0.064369907054648
"Pooled",10.1756678878984,-0.0295199665866642
"Pooled",10.1659869322732,-0.0118711568933945
"Pooled",10.1916768053256,-0.00970087563666324
"Pooled",10.205077084911,-0.0260594641461616
"Pooled",10.1133291757,0.0924104014858996
"Pooled",10.0790154938997,0.0176620735617976
"Pooled",10.0894149667472,-0.0607625766352683
"Pooled",10.1046909294451,-0.0218185009912382
"Pooled",10.158836657978,0.0144457916614675
"Pooled",10.1624916093386,0.0305252830092264
"Pooled",10.1149112131078,0.0852248797991419
"Pooled",10.1210937745062,0.120791614849633
"Pooled",12.7906512151544,-0.438215838187053
"Pooled",12.7575078287257,-0.359244646835896
