Index,country,year,delta_Lnrgdpo,delta_Lnlabor_stock,delta_Lncapital_stock,delta_RL,delta_GS,delta_RE,delta_MO
1,Austria,2001,-0.0229522165426008,0.00478967965086063,0.0251917848763004,0.5,0,0.599999999999994,-1.6666666666666
2,Austria,2002,0.0208678157805995,0.00238266644822893,0.0211697414480003,0.5,-2.9,-1.59999999999999,0.533333333333303
3,Austria,2003,0.0245734790940997,0.00690949794376117,0.0223130314182995,0.5,0.25,-0.650000000000006,0.599999999999994
4,Austria,2004,0.0392526265165003,0.0116143524553003,0.0213116131752003,0,0.300000000000001,0.400000000000006,-0.533333333333303
5,Austria,2005,0.0904266698822003,0.00122653529800942,0.020197769674299,1,1.25,-1.0833333333333,0.133333333333312
6,Austria,2006,0.0194459530854001,0.0117870259767603,0.0196572801865997,2,3.2,3.5,0.733333333333292
7,Austria,2007,0.0336137552114,0.0171757885515493,0.0212993679763009,1.5,0.799999999999997,-1.10000000000001,1.40000000000001
8,Austria,2008,0.0356921471543998,0.0198451088553995,0.0208359163739988,-0.5,0.7468,-0.766160709999994,-0.200000000000003
9,Austria,2009,-0.0456123991281991,-0.0250426556504983,0.0150613253135017,-2.5,0.253050000000002,0.888193096666598,-0.066666666666606
10,Austria,2010,0.0319185268661997,0.0104141530938993,0.0129405927948998,0,1.50015,-2.05536572,2.23333333333331
11,Austria,2011,0.0434304835125996,0.0240033064012994,0.0153332384548985,-1,-0.850000000000001,0.633333333333397,1.7
12,Austria,2012,0.0180525311892996,0.000429639265600912,0.0146197844358014,0,-6.2,-1.09999999999999,-0.133333333333297
13,Austria,2013,-0.0129633276271992,-0.00245092405780056,0.0143754372411991,-0.5,4.34999999999999,0.899999999999992,1.53333333333329
14,Austria,2014,0.045543851577099,0.00534266681339979,0.0130865638362998,-1.25,-0.0499999999999972,1,2
15,Austria,2015,0.0173333657336006,-0.00469177124080034,0.0136390175882006,-3.25,-2.3,-0.433333333333394,0.0666666666667055
16,Austria,2016,0.0128453348206001,0.0212943072000016,0.0147650313249006,1.5,1.59999999999999,-0.466666666666598,0
17,Austria,2017,0.0492943554160004,0.0147877839846,0.0157171078333,0,13.2166666666667,-1.90000000000001,-0.3333333333334
