"","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Switzerland"
"Lnlabor_stock",-0.363347105567348,-2.63226869163738,0.355179084818771,0.670224755199182,-0.172536553806618,-0.225217272228766,-0.451669747828401,0.465953405510868,0.938734300384581,1.16701996543237,1.04437173098905,0.853904733703397,0.781360817250357,-1.0428099659024,0.899213367936037,0.325938455444988,0.309162712254691,-0.0153713892328419,1.45100152398874,0.284059313686336,-0.826425004057086,0.628381358020103,1.19537668958185,1.12521276751169,-0.0347576636069481,0.792662653303768,0.124435301956188,0.70666211218177,0.873642155830566,1.47887850774313
"Lncapital_stock",1.741679346,-0.378985330378538,-0.461264591585132,0.788817460785646,0.696244228061276,5.75796835889471,-1.19359909200987,0.447254064751653,-2.61979792158482,0.358085046161937,1.34211104802224,1.08596420729258,0.365335825094891,0.213567919092963,0.438067899280225,-0.0461543398528073,-1.03930160535661,2.66579611609877,1.84920277864642,2.99358634642698,-1.32332688317898,-2.50098463786538,-0.155769448351212,-0.493150376239659,1.80314096794153,-3.13595114367653,-0.0440018603554825,0.885616671828195,-1.55100008414965,-1.44132999313988
"RL",-0.00193411320538274,-0.00148384925491406,-0.00381342155922312,-0.000115638026763351,0.00063059667251131,-0.00755930394887862,0.00185154086802473,0.00448098798569979,-0.0068221402120043,0.00189639779599387,0.000277464858545682,-0.00135948292539583,0.00622224410904912,-0.00383288918802661,-0.0114916148596202,-0.00234616154064022,-0.00266306247462953,0.00090328054407996,-0.0259488772289767,-0.00527912574079252,0.00344182026644794,0.0235093541790969,0.00502388496120782,-0.00498665356298558,-0.00471163609382875,-0.0025282671344458,0.00201998996679138,0.00169531373009689,-0.00351479257543952,-0.014262846930619
"GS",0.00580944397706879,-0.000372942687302397,-0.00518564024541491,-0.00200374068669476,0.00378787423594592,-0.00105045106000618,0.000709414376247274,0.00239999283966423,0.00233567498272981,-0.00321308419996251,-0.000895456511058044,0.00141379639354249,-0.00222000207753772,0.00619153099593841,0.0102940006240735,0.00292714860548587,0.00208769819594664,0.00983037005621575,0.00230014575135172,0.000915554183386219,-0.000454126265389712,-0.0186358222008463,0.000151110801587662,0.000486135779748692,-0.00561688601681082,0.00587279741634161,0.00127523461351095,-0.00228087469718391,0.001939981427267,-0.00386952931410516
"RE",-0.00182618741774865,-0.006643834245204,0.000317787779746747,-0.00574856545858312,0.0122709443991098,0.00165955795486061,-0.00101032886531089,-0.00371565980980456,-2.85623086036547e-05,-0.00169339295296206,-0.0066617261998904,-0.00434026956223977,0.000632264038506326,-0.019448716598655,-0.031439834354821,-0.00629408953937046,0.00514715777907919,0.00814145136556313,-0.00401558943566322,-0.00221745994215609,0.00712883710224137,-0.00377164340625436,0.00530604964543993,-0.00748838655252639,0.0183097844703201,-0.0103556323898548,-0.00416081664875214,0.00863899895786216,-0.00300461943683336,0.0149572648353594
"MO",2.19324914223648e-05,0.00091697437375885,-1.25950354544387e-05,-0.00737535075208796,0.0152978200382912,0.00600077145753034,0.000561181702248843,0.00612052234450718,0.00144925095674245,-0.00270057712769563,0.00132777410390583,0.00304500016300481,0.00343262291117278,0.00678793649652424,-0.0104896388274472,-0.000103577903590269,-0.0035602770852345,-0.000283774848356998,0.0054300293168126,-0.00512168383432193,0.00147983455058621,0.024836735412505,-0.00111554824704582,-0.00363481014970203,-0.00807778235514963,-0.0142551986286204,-0.00784796062349581,0.000730709724444348,-0.00117485227888313,0.00403414493580923
