Index,country,year,Lnrgdpo,Lnlabor_stock,Lncapital_stock,RL,GS,RE,MO,LnRL,LnGS,LnRE,LnMO,d_Lnrgdpo,d_Lnlabor_stock,d_Lncapital_stock,d_RL,d_GS,d_RE,d_MO
1,Austria,2001,12.6114148294168,9.96074124518379,14.4277665957683,83.0,34.6,79.8,72.6666666666667,4.4188406077966,3.54385368206368,4.37952350445576,4.28588277412098,-0.022952216542600823,0.004789679650860634,0.02519178487630036,0.5,0.0,0.5999999999999943,-1.6666666666666003
2,Austria,2002,12.6322826451974,9.96312391163202,14.4489363372163,83.5,31.7,78.2,73.2,4.42484663185681,3.45631668088324,4.35926964755127,4.29319542096727,0.020867815780599486,0.0023826664482289317,0.021169741448000323,0.5,-2.900000000000002,-1.5999999999999943,0.533333333333303
3,Austria,2003,12.6568561242915,9.97003340957578,14.4712493686346,84.0,31.95,77.55,73.8,4.43081679884331,3.46417218082354,4.35092288962255,4.30135873160643,0.02457347909409968,0.006909497943761167,0.022313031418299545,0.5,0.25,-0.6500000000000057,0.5999999999999943
4,Austria,2004,12.696108750808,9.98164776203108,14.4925609818098,84.0,32.25,77.95,73.2666666666667,4.43081679884331,3.47351804324178,4.35606759550379,4.29410575330141,0.0392526265165003,0.011614352455300292,0.02131161317520025,0.0,0.3000000000000007,0.4000000000000057,-0.533333333333303
5,Austria,2005,12.7865354206902,9.98287429732909,14.5127587514841,85.0,33.5,76.8666666666667,73.4,4.44265125649032,3.51154543883102,4.34207231916685,4.29592393562047,0.09042666988220027,0.0012265352980094235,0.020197769674298982,1.0,1.25,-1.0833333333333002,0.13333333333331154
6,Austria,2006,12.8059813737756,9.99466132330585,14.5324160316707,87.0,36.7,80.3666666666667,74.1333333333333,4.46590811865458,3.60277675506052,4.38659949651902,4.30586527370832,0.01944595308540009,0.01178702597676029,0.019657280186599735,2.0,3.200000000000003,3.5,0.7333333333332916
7,Austria,2007,12.839595128987,10.0118371118574,14.553715399647,88.5,37.5,79.2666666666667,75.5333333333333,4.48300255201388,3.62434093297637,4.37281769558857,4.3245740599258,0.033613755211399976,0.01717578855154933,0.021299367976300942,1.5,0.7999999999999972,-1.1000000000000085,1.4000000000000057
8,Austria,2008,12.8752872761414,10.0316822207128,14.574551316021,88.0,38.2468,78.5005059566667,75.3333333333333,4.47733681447821,3.64405989664212,4.36310507007545,4.32192271060418,0.035692147154399834,0.019845108855399474,0.020835916373998842,-0.5,0.7468000000000004,-0.7661607099999941,-0.20000000000000284
9,Austria,2009,12.8296748770132,10.0066395650623,14.5896126413345,85.5,38.49985,79.3886990533333,75.2666666666667,4.44851637594272,3.65065434518225,4.37435602882021,4.32103736304745,-0.045612399128199144,-0.025042655650498347,0.015061325313501683,-2.5,0.2530500000000018,0.8881930966665976,-0.06666666666660603
10,Austria,2010,12.8615934038794,10.0170537181562,14.6025532341294,85.5,40.0,77.3333333333333,77.5,4.44851637594272,3.68887945411394,4.3481250829982,4.3502779363593,0.03191852686619967,0.010414153093899259,0.012940592794899786,0.0,1.5001499999999979,-2.0553657199999975,2.233333333333306
