Index,country,year,rgdpo,labor_stock,capital_stock,Overall Score,Property Rights,Government Integrity,Rule of law,Tax Burden,Government Spending,Government size,Business Freedom,Monetary Freedom,Regulatory efficiency,Trade Freedom,Investment Freedom,Financial Freedom,Market openness
351,Lithuania,2011,72970.46875,7676.13077935031,279779.384324364,71.3,60,49,54.5,86.1,58,72.05,81.7,74.5,70.6,87.6,80,80,82.5333333333333
352,Lithuania,2012,77256.609375,7859.24683975062,283825.283292551,71.5,60,50,55,93.6,41.7,67.65,79.2,79.3,74.3666666666667,87.1,80,80,82.3666666666667
353,Lithuania,2013,77322.859375,7920.17301045477,288873.801279458,72.1,60,48,54,92.8,53.6,73.2,77.6,78.3,73.3333333333333,86.8,80,80,82.2666666666667
354,Lithuania,2014,79913.2734375,8054.14004122535,294564.477400469,73,60,49.9,54.95,92.9,55.9,74.4,85.7,78.6,74.4333333333333,87.8,80,80,82.6
355,Lithuania,2015,79636.4375,8291.20280227432,300825.479288715,74.7,60,57,58.5,92.9,61.3,77.1,84.9,81.2,76.0333333333334,88,80,80,82.6666666666667
356,Lithuania,2016,81158.296875,8614.53886350744,307137.030177892,75.2,65,58,61.5,92.9,63.8,78.35,80,84.6,74.8666666666667,88,80,80,82.6666666666667
357,Lithuania,2017,84886.65625,8394.78937153961,314415.041912895,75.8,73,69.7,68.3666666666667,86.9,64.1,81.5333333333333,79.1,90,77.5666666666667,87,70,70,75.6666666666667
358,Lithuania,2018,86619.15625,8538.81546165186,322961.223657463,75.3,73.8,50.9,63.8,86.4,63.9,82.3333333333333,73.4,89.9,75.9333333333333,86.9,80,70,78.9666666666667
359,Lithuania,2019,89642.1796875,8577.81532827858,332155.395887012,74.2,73.6,47.8,60.8666666666667,86.4,65.1,82.9333333333333,75.2,84.6,74.4666666666667,86,80,70,78.6666666666667
360,Luxembourg,2000,29038.34375,1210.09490498858,119173.731055806,76.4,90,87,88.5,51.3,67.3,59.3,85,88.3,86.65,79,70,70,73
361,Luxembourg,2001,27308.109375,1273.40974117314,123114.228632506,80.1,90,88,89,52.5,58.9,55.7,85,88.6,86.8,78,90,90,86
362,Luxembourg,2002,26584.765625,1313.75680591327,126555.468804975,79.4,90,86,88,56.8,52,54.4,85,85.2,85.1,79.6,90,90,86.5333333333334
363,Luxembourg,2003,25839.4453125,1342.26204814015,131629.150020372,79.9,90,87,88.5,59.8,51.5,55.65,85,84.7,84.85,81.4,90,90,87.1333333333333
364,Luxembourg,2004,24008.029296875,1378.68124819036,136327.084651418,78.9,90,90,90,58.9,41.4,50.15,85,85.3,85.15,79.8,90,90,86.6
365,Luxembourg,2005,30263.482421875,1400.53527101946,143147.930315774,76.3,90,87,88.5,64.3,39,51.65,85,85.9,74.1,80.2,90,90,86.7333333333333
366,Luxembourg,2006,30170.251953125,1476.17124306777,148015.81623485,75.3,90,84,87,65.7,36.8,51.25,76.9,85.7,71.3333333333333,82.4,90,90,87.4666666666667
367,Luxembourg,2007,32425.08203125,1581.59808914632,153710.94999899,74.6,90,85,87.5,65.3,44,54.65,76.9,80.2,68.3,86.6,90,80,85.5333333333334
368,Luxembourg,2008,32211.30859375,1685.37404104878,160505.632801027,74.66880629,90,86,88,65.4083,44.7877,55.098,77.28469126,79.78133488,68.1553420466667,86,90,80,85.3333333333333
369,Luxembourg,2009,30086.37109375,1675.87582573865,164506.71894503,75.19454271,90,84,87,66.335275,54.37,60.3526375,76.17806193,80.16051462,67.1461921833333,85.8,90,80,85.2666666666667
370,Luxembourg,2010,34426.83984375,1735.5946338027,169571.343009477,75.4,90,83,86.5,65.9,58.5,62.2,75.1,78.9,64.8,87.5,95,80,87.5
371,Luxembourg,2011,34691.48046875,1808.82931275623,176339.944915546,76.2,90,82,86,66.7,58.5,62.6,76.4,82.1,67.5333333333333,87.6,95,80,87.5333333333334
372,Luxembourg,2012,36499.7734375,1865.35615200482,182972.62875033,74.5,90,85,87.5,63.6,46.6,55.1,75.9,81.3,66.0333333333334,87.1,95,80,87.3666666666667
373,Luxembourg,2013,35713.08203125,1916.19672869932,189316.750276591,74.2,90,85,87.5,65,47.1,56.05,74.8,79.3,64.3666666666667,86.8,95,80,87.2666666666667
374,Luxembourg,2014,42431.20703125,1993.83218644351,196502.455391668,74.2,90,84.1,87.05,62.8,47.6,55.2,72.6,78.9,64.8666666666667,87.8,95,80,87.6
375,Luxembourg,2015,46689.50390625,2080.81023281302,202518.336328379,73.2,90,80,85,62.3,42.2,52.25,71.3,80.7,64.7,88,95,80,87.6666666666667
376,Luxembourg,2016,50115.65625,2168.18337057335,208903.91463666,73.9,90,82,86,61.1,43,52.05,73.7,83.2,66.5,88,95,80,87.6666666666667
377,Luxembourg,2017,53625.59375,2264.86623953674,215409.058862802,75.9,85.8,78.3,80.3666666666667,64.5,46,69.8333333333333,68.6,86.2,66.2,87,95,80,87.3333333333333
378,Luxembourg,2018,53538.56640625,2387.46606494456,221139.802555683,76.4,82.7,79,79.8666666666667,65.1,48.5,70.8666666666667,69.2,87.6,67.6666666666667,86.9,95,80,87.3
379,Luxembourg,2019,55710.79296875,2510.42103504601,227437.838209745,75.9,83,85.8,80.4,65.4,46.6,70.3,68.8,82.6,65.7666666666667,86,95,80,87
380,Malta,2000,10049.6318359375,923.861636482901,26015.0658820724,58.3,70,30,50,64.1,36.5,50.3,70,72.9,71.45,61,70,50,60.3333333333333
381,Malta,2001,8969.427734375,908.988406099898,27235.5510031219,62.9,90,30,60,65.7,41.9,53.8,70,74.5,72.25,73.6,50,70,64.5333333333333
382,Malta,2002,9192.0712890625,942.489676292411,28053.2588619628,62.2,90,30,60,64.6,30.9,47.75,70,79.1,74.55,75.4,50,70,65.1333333333333
383,Malta,2003,9668.4580078125,935.238751651485,29631.7912392766,61.1,90,30,60,63.5,36.8,50.15,85,79.8,82.4,65,50,50,55
384,Malta,2004,9153.9794921875,901.800674077523,31157.0334093223,63.3,90,50,70,63.1,11.5,37.3,85,84.6,84.8,65.4,50,70,61.8
385,Malta,2005,10343.1357421875,948.819858964628,33094.1161621418,68.9,90,50,70,62.2,40.3,51.25,85,85.7,76.9,75.8,50,90,71.9333333333333
386,Malta,2006,10182.1162109375,971.022838728842,35018.3360392268,67.3,90,68,79,62.2,35.4,48.8,70,85,71.6666666666667,82.4,50,70,67.4666666666667
387,Malta,2007,10714.158203125,994.192315847307,37041.8101002466,66.1,90,66,78,61.1,27.7,44.4,70,80,70,86.6,50,70,68.8666666666667
388,Malta,2008,10701.2490234375,1027.21866833135,38589.3813237913,66.02518919,90,64,77,61.2871,29.1412,45.21415,70,79.82359186,69.9411972866667,86,50,70,68.6666666666667
389,Malta,2009,10661.5400390625,1033.35217777666,39654.1905652171,66.12878377,90,58,74,63.1096,41.6557,52.38265,70,82.72253766,70.9075125533333,85.8,50,60,65.2666666666667
390,Malta,2010,11165.517578125,1030.45465349329,41381.4631748601,67.2,80,58,69,62.5,45.6,54.05,70,78.1,69.3666666666667,87.5,70,60,72.5
391,Malta,2011,11844.349609375,1039.30282911365,42352.1448528755,65.7,70,52,61,62.5,39.8,51.15,70,80.1,70.0333333333333,87.6,75,60,74.2
392,Malta,2012,12173.044921875,1057.43036558257,43329.896484497,67,70,56,63,67.8,43.8,55.8,70,80.5,70.1666666666667,87.1,75,60,74.0333333333333
393,Malta,2013,11883.0732421875,1086.22380653851,44275.9784156629,67.5,75,56,65.5,61.2,44.1,52.65,61.1,80.4,68.9666666666667,86.8,85,60,77.2666666666667
394,Malta,2014,12364.4169921875,1113.53972480522,45370.357483736,66.4,75,55.8,65.4,63.7,47.2,55.45,62.4,79.1,64.9,87.8,80,60,75.9333333333333
395,Malta,2015,14656.3896484375,1141.05929922413,48218.4129611721,66.5,75,56,65.5,63.1,44.4,53.75,61,81.8,66.1333333333333,88,80,60,76
396,Malta,2016,14921.9306640625,1208.79874536653,50657.574795839,66.7,70,55,62.5,63.9,46.5,55.2,61.6,83.5,66.2,88,85,60,77.6666666666667
397,Malta,2017,15395.130859375,1226.86951197088,52550.1311410355,67.7,67.7,53.6,61.4,62.8,44.9,64.2666666666667,62.5,83.5,67.7333333333333,87,85,60,77.3333333333333
398,Malta,2018,16995.53125,1277.92790313323,54349.5025873561,68.5,68.1,49.9,60.2666666666667,64.7,51,68.5666666666667,64,78.8,67.9666666666667,86.9,85,60,77.3
399,Malta,2019,17134.908203125,1334.22738557666,56341.4010744376,68.6,69.8,50.3,56.8333333333333,64.2,56.1,71.6,67.1,78.2,68.8666666666667,86,85,60,77
400,Netherlands,2000,678720.5625,37742.8923937342,3088195.06621934,70.4,90,90,90,36.9,28,32.45,70,80.9,75.45,77.8,70,90,79.2666666666667
401,Netherlands,2001,687793.6875,38319.5265489354,3166292.21764962,73,90,90,90,38.4,25,31.7,70,85.7,77.85,78,90,90,86
402,Netherlands,2002,690538.8125,38252.9128800025,3231651.36399269,75.1,90,89,89.5,43.6,39.3,41.45,70,84.6,77.3,79.6,90,90,86.5333333333334
403,Netherlands,2003,691591.0625,37998.6307443469,3291289.36934164,74.6,90,88,89,44.1,35.4,39.75,70,82.8,76.4,81.4,90,90,87.1333333333333
404,Netherlands,2004,705130.9375,38318.865012154,3348870.97109519,74.5,90,90,90,45.2,32.3,38.75,70,83.2,76.6,79.8,90,90,86.6
405,Netherlands,2005,801049.3125,38444.279632777,3409904.90512967,72.9,90,89,89.5,45.7,28,36.85,70,84.8,72.1,80.2,90,90,86.7333333333333
406,Netherlands,2006,822049.5625,39461.0427633164,3480825.46223085,75.4,90,87,88.5,48,29.1,38.55,87.5,86.6,79,82.4,90,90,87.4666666666667
407,Netherlands,2007,879112.4375,40826.1001468233,3575613.45993419,75.5,90,86,88,48.8,34.9,41.85,88.4,87.2,79.4333333333333,86.6,90,80,85.5333333333334
408,Netherlands,2008,915336.4375,41633.037551064,3656755.72953533,77.35361447,90,87,88.5,51.6076,38.1652,44.8864,88.03378334,86.93317274,80.2556520266667,86,90,90,88.6666666666667
409,Netherlands,2009,838617.9375,41129.363493294,3716379.69101924,76.97843093,90,90,90,50.855,36.2437,43.54935,86.54149894,87.01227972,78.9512595533333,85.8,90,90,88.6
410,Netherlands,2010,843381.4375,40931.049499759,3761334.17832884,75,90,89,89.5,52,38.4,45.2,82.6,81,74.2333333333333,87.5,90,80,85.8333333333333
411,Netherlands,2011,863495.0625,41418.8286296442,3812043.56475308,74.7,90,89,89.5,50.6,36.8,43.7,81.9,82.7,74.3,87.6,90,80,85.8666666666667
412,Netherlands,2012,884191.5625,41205.2568072242,3846914.56066752,73.3,90,88,89,51.2,20.9,36.05,81.9,83.6,75.1666666666667,87.1,90,80,85.7
413,Netherlands,2013,925619.125,41018.1580573934,3876599.25529346,73.5,90,89,89.5,52.1,24.7,38.4,83,81.1,74.2333333333333,86.8,90,80,85.6
414,Netherlands,2014,882311.5,41441.2722458216,3900547.7481712,74.2,90,88,89,51.7,25.6,38.65,89.7,79.9,76.4,87.8,90,80,85.9333333333333
415,Netherlands,2015,875122.75,41945.9738030082,3972478.08670688,73.7,90,83,86.5,51.8,23.8,37.8,84.3,79.8,76.8,88,90,80,86
416,Netherlands,2016,873445.8125,42992.405338876,4018789.8279622,74.6,90,83,86.5,52.7,34.4,43.55,80,83.4,75.8,88,90,80,86
417,Netherlands,2017,923126.375,44032.7990788744,4075251.36134849,75.8,87.4,85.7,81,53.2,37,57.7333333333333,80.2,85.8,78.8333333333333,87,90,80,85.6666666666667
418,Netherlands,2018,936939.1875,45197.8515146599,4138507.57984318,76.2,87.9,86,82.6666666666667,52.5,39.1,59.9333333333333,80.5,87.5,76.5,86.9,90,80,85.6333333333333
419,Netherlands,2019,950077.9375,46249.8892283132,4209470.12676951,76.8,88,89.1,83.9333333333333,51.6,42.9,62.6,81.4,84,75.2333333333333,86,90,80,85.3333333333333
420,Norway,2000,253679.828125,11310.8282056539,939988.254650858,70.1,90,90,90,57.3,41.9,49.6,70,80.4,75.2,81,70,50,67
421,Norway,2001,256791.046875,11207.8343914162,961263.287209995,67.1,90,89,89.5,56.7,36.5,46.6,70,80.3,75.15,81,50,50,60.3333333333333
422,Norway,2002,247474.765625,11086.4687487812,981315.284639167,67.4,90,91,90.5,51.1,41.9,46.5,70,79.3,74.65,82.8,50,50,60.9333333333333
423,Norway,2003,266349.9375,10851.3066803111,1000552.50365067,67.2,90,86,88,50.9,41.4,46.15,70,84.1,77.05,82.8,50,50,60.9333333333333
424,Norway,2004,284456.0625,11078.4964170636,1025011.37321262,66.2,90,85,87.5,50.8,31.7,41.25,70,86.3,78.15,81.8,50,50,60.6
425,Norway,2005,353368.5625,11288.2423510276,1055807.98876934,64.5,90,88,89,50.4,28.3,39.35,70,85.5,68.2666666666667,83.6,50,50,61.2
426,Norway,2006,385067.25,11679.4259256255,1091099.3942101,67.9,90,89,89.5,50.8,34.9,42.85,91.4,88.7,76.9,84.2,50,50,61.4
427,Norway,2007,391365.46875,12258.5975353329,1134014.4009926,67.9,90,89,89.5,50.6,37.6,44.1,91.1,82.5,74.2,89.2,50,50,63.0666666666667
428,Norway,2008,445013.0625,12727.8956219593,1174830.2260015,68.56004427,90,88,89,50.302,46.3213,48.31165,89.08866058,76.14335503,71.5773385366667,86.2,60,50,65.4
429,Norway,2009,375852.1875,12578.0160848628,1207681.34011812,70.17759882,90,87,88.5,50.302,50.5492,50.4256,88.12036669,78.05195045,71.59077238,89.2,60,60,69.7333333333333
430,Norway,2010,408091.65625,12695.1414218937,1233794.26551688,69.4,90,79,84.5,50.5,49.8,50.15,88.8,74.2,70.0333333333334,89.2,65,60,71.4
431,Norway,2011,448746.96875,12955.1563657339,1264522.87475301,70.3,90,86,88,51.6,51.5,51.55,88.3,75.1,69.7333333333333,89.4,65,60,71.4666666666667
432,Norway,2012,474551.59375,13219.8248118511,1300514.34693964,68.8,90,86,88,52.5,35.3,43.9,88.4,75.1,69.9333333333333,89.3,65,60,71.4333333333333
433,Norway,2013,464938.59375,13322.0064708434,1340842.39283806,70.5,90,90,90,51,40.3,45.65,92.6,76.9,71.4,89.3,70,60,73.1
434,Norway,2014,436629.5625,13537.8977518301,1379839.61463539,70.9,90,88.1,89.05,50.6,42.2,46.4,90.9,78.7,71.4,89.1,75,60,74.7
435,Norway,2015,368037.34375,13681.3004573868,1414621.35459001,71.8,90,86,88,52.1,43.8,47.95,92.1,81.7,74,89.4,75,60,74.8
436,Norway,2016,353195.59375,13797.1953369847,1451858.71299297,70.8,90,86,88,53.2,41.8,47.5,89.6,76.2,71.4333333333333,87.8,75,60,74.2666666666667
437,Norway,2017,368649.65625,13867.3598614262,1489551.39992529,74,86.7,88.3,86.1,55.6,38.5,64.1666666666667,89.5,75.8,71.3666666666667,87.7,75,60,74.2333333333333
438,Norway,2018,401659.84375,14167.8460349183,1527972.30273449,74.3,86.4,93.6,88.6666666666667,56.4,29.2,61.1333333333333,90.4,73.9,72.9666666666667,87.9,75,60,74.3
439,Norway,2019,396253.875,14467.0478156792,1570784.24292672,73,86.1,92.3,86.5333333333334,57.4,25.3,60,89.4,75.4,72.8333333333333,83.2,75,60,72.7333333333333
440,Poland,2000,582819.0625,90984.4553445745,1256149.69148464,60,70,46,58,58.1,33.7,45.9,70,66.9,68.45,74.8,70,50,64.9333333333333
441,Poland,2001,585245.3125,89593.3652420984,1306545.60320999,61.8,70,42,56,61.3,44.5,52.9,70,70.9,70.45,77.6,70,50,65.8666666666667
442,Poland,2002,598602.1875,87182.4505367587,1347840.16546781,65,70,41,55.5,65.3,49.6,57.45,70,70.4,70.2,78.8,70,70,72.9333333333333
443,Poland,2003,603780.1875,86918.6464732926,1389145.85690126,61.8,70,41,55.5,65.6,46.1,55.85,70,73.5,71.75,70.2,50,70,63.4
444,Poland,2004,625303,88444.9316211033,1435779.46288193,58.7,50,40,45,64.9,35.1,50,70,78.1,74.05,70.4,50,70,63.4666666666667
445,Poland,2005,658130.8125,90667.6395638163,1489462.69138759,59.6,50,36,43,68.3,30.3,49.3,70,82.3,70.7666666666667,79.2,50,70,66.4
446,Poland,2006,682456.5625,94308.0764080237,1558287.93717201,59.3,50,35,42.5,68.7,39.5,54.1,56.5,79.6,65.7666666666667,82.4,50,70,67.4666666666667
447,Poland,2007,742841.4375,99156.9916685698,1647434.00337258,58.1,50,34,42,68.6,44.8,56.7,55.3,80.3,65.6666666666667,86.6,50,50,62.2
448,Poland,2008,790771,103251.821418169,1743044.60189553,60.28693341,50,37,43.5,68.5564,43.4932,56.0248,54.23594518,82.2621666,65.9327039266667,86,60,60,68.6666666666667
449,Poland,2009,818383.5625,103691.557404024,1829554.59195963,60.32416531,50,42,46,68.9656,42.1837,55.57465,53.65845608,80.8216096,64.7600218933333,85.8,60,60,68.6
450,Poland,2010,897993.375,101437.743223198,1913203.67259527,63.2,55,46,50.5,74.9,46.8,60.85,62.2,78.1,67.2666666666667,87.5,60,60,69.1666666666667
451,Poland,2011,961309.5625,102326.309148544,2008252.39564593,64.1,60,50,55,74,43.8,58.9,61.4,78.1,66.9,87.6,65,60,70.8666666666667
452,Poland,2012,980559.1875,102775.017359268,2095546.87524413,64.2,60,53,56.5,74.4,40.3,57.35,61.4,79.1,67.2666666666667,87.1,65,60,70.7
453,Poland,2013,977445.9375,103156.39296651,2176912.95425623,66,60,55,57.5,76,43,59.5,64,77.7,68.2,86.8,65,70,73.9333333333333
454,Poland,2014,988262.25,105961.562774977,2272398.39112509,67,60,54.8,57.4,76.1,43.2,59.65,70.1,77.8,69.4333333333333,87.8,70,70,75.9333333333333
455,Poland,2015,1033507.8125,108704.860189096,2374351.98313312,68.6,60,60,60,82.1,47.1,64.6,67.3,81.3,69.6666666666667,88,70,70,76
456,Poland,2016,1055273.875,110476.700381741,2452990.58066817,69.3,65,61,63,75.5,46.5,61,68.7,85.2,70.6333333333333,88,75,70,77.6666666666667
457,Poland,2017,1102457.25,111482.746632139,2535122.79602321,68.3,60.8,55.5,58.1,76,46.9,66.3333333333333,67.8,84.7,71.3333333333333,87,75,70,77.3333333333333
458,Poland,2018,1157452.5,111356.016617667,2630395.22702576,68.5,61.8,50.9,56.4333333333333,75.9,47.8,68.4,67.2,85,72.0333333333333,86.9,75,70,77.3
459,Poland,2019,1211846.25,113013.13810116,2733385.89230739,67.8,62.3,49.8,52.0333333333333,74.9,48.8,70.0333333333334,65.4,82.1,70.4666666666667,86,80,70,78.6666666666667
460,Portugal,2000,255502.140625,21880.6084723977,1908478.60873349,65.5,70,65,67.5,60.4,41.9,51.15,70,84.8,77.4,77.8,70,50,65.9333333333333
461,Portugal,2001,254420.453125,21982.6040495438,1987100.10396123,66,70,67,68.5,61.6,41.9,51.75,70,85.2,77.6,78,70,50,66
462,Portugal,2002,255110.796875,21933.842299983,2057074.08241679,65.4,70,64,67,60.8,39.3,50.05,70,84.7,77.35,79.6,70,50,66.5333333333333
463,Portugal,2003,253838.9375,21624.0107046179,2114090.27716375,64.9,70,63,66.5,61.8,35.7,48.75,70,82.6,76.3,81.4,70,50,67.1333333333333
464,Portugal,2004,253878.703125,21547.8013557337,2169472.66523408,64.9,70,63,66.5,62.3,36.2,49.25,70,82.9,76.45,79.8,70,50,66.6
465,Portugal,2005,279745.78125,21482.5917538347,2222732.72544676,62.4,70,66,68,61.7,32,46.85,70,83.2,64.8,80.2,70,50,66.7333333333333
466,Portugal,2006,293115.375,21710.6276196907,2272379.50079667,62.9,70,63,66.5,64,29.7,46.85,73.3,84.4,66.6333333333333,82.4,70,50,67.4666666666667
467,Portugal,2007,299801.53125,22182.4071808288,2323148.71607308,64,70,65,67.5,62.3,35.4,48.85,78.6,80.4,66.8333333333333,86.6,70,50,68.8666666666667
468,Portugal,2008,299149.875,22378.298483171,2370848.06882543,63.8965721,70,66,68,61.3431,32.5972,46.97015,80.49996343,79.40551399,67.6684924733333,86,70,50,68.6666666666667
469,Portugal,2009,293305.1875,22020.2205000392,2406072.35379163,64.91180713,70,65,67.5,61.6475,35.4112,48.52935,81.08746958,79.89692069,67.0947967566667,85.8,70,60,71.9333333333333
470,Portugal,2010,305685.21875,21961.8717184354,2438512.40862702,64.4,70,61,65.5,61,37.1,49.05,80.5,79.7,65.7333333333333,87.5,70,60,72.5
471,Portugal,2011,299812.5625,21398.462328887,2455577.99240207,64,70,58,64,61.1,36.2,48.65,80.1,82.3,65.7,87.6,70,60,72.5333333333333
472,Portugal,2012,299026.875,20471.8821815202,2456468.37607673,63,70,60,65,59,25.5,42.25,83,82.6,66.0333333333333,87.1,70,60,72.3666666666667
473,Portugal,2013,289529.65625,20140.8751075274,2453475.72970331,63.1,70,61,65.5,61.6,28.3,44.95,82.8,79.4,64.4,86.8,70,60,72.2666666666667
474,Portugal,2014,289749.28125,20653.897922967,2452567.14874405,63.5,70,61.1,65.55,60.1,26.8,43.45,84.9,79.3,66.2666666666667,87.8,70,60,72.6
475,Portugal,2015,297096.65625,21160.2918764027,2456348.33726823,65.3,70,62,66,61.1,28.8,44.95,87.5,82.8,71.0666666666667,88,70,60,72.6666666666667
476,Portugal,2016,304108.8125,21702.2035415835,2461569.82396799,65.1,70,63,66.5,60.5,24.8,42.65,85.3,85.7,71.5,88,70,60,72.6666666666667
477,Portugal,2017,313080.1875,22410.4238612912,2476173.43724198,62.6,73.3,59,67.0666666666667,59.8,25.1,39,86.4,85.9,71.9,87,70,60,72.3333333333333
478,Portugal,2018,317162.25,22984.7466735332,2494006.07592455,63.4,69.2,56.8,65.3666666666667,59.8,29.8,45.2,83.2,85.3,70.8666666666667,86.9,70,60,72.3
479,Portugal,2019,325160.03125,23246.2666608435,2514999.75612205,65.3,71.5,59.5,65.1,59.9,35.6,55.1,79.7,83,69,86,70,60,72
480,Romania,2000,189927.8125,59316.9652996784,756265.093902475,52.1,30,30,30,58.3,63.3,60.8,55,38.1,46.55,74,70,50,64.6666666666667
481,Romania,2001,205140.34375,59073.2192308674,769944.784913991,50,30,33,31.5,57.6,79.7,68.65,55,41.4,48.2,73.4,50,30,51.1333333333333
482,Romania,2002,212188.671875,54053.501870133,785579.908759155,48.7,30,29,29.5,64.4,58.9,61.65,55,46.6,50.8,74.4,50,30,51.4666666666667
483,Romania,2003,222644.671875,51233.6232663737,804613.460301783,50.6,30,28,29,69.1,62.4,65.75,55,50.8,52.9,60.2,50,50,53.4
484,Romania,2004,248148.625,52370.5882822011,827791.112366505,50,30,26,28,69.9,74.8,72.35,55,56.8,55.9,57.6,30,50,45.8666666666667
485,Romania,2005,255695.6875,51388.7798159384,856118.371902766,52.1,30,28,29,70.1,68.9,69.5,55,62.6,57.7,70.4,30,50,50.1333333333333
486,Romania,2006,292077.90625,51565.4570621732,901231.533652403,58.2,30,29,29.5,87.5,68.9,78.2,74.6,66.6,66.2333333333333,68.4,50,50,56.1333333333333
487,Romania,2007,327959.03125,52347.3834728475,988062.07711461,61.2,30,30,30,85.9,71,78.45,73.2,69.7,66.9666666666667,84,50,60,64.6666666666667
488,Romania,2008,382007.84375,52631.9290798823,1089086.84928282,61.71342771,30,31,30.5,85.6384,70.7968,78.2176,74.90498573,72.47548861,67.8934914466667,86,60,50,65.3333333333333
489,Romania,2009,371476.5,51691.2688554609,1129597.30119109,63.18059421,35,37,36,86.9839,70.0432,78.51355,74.91887561,74.97274386,68.99720649,85.8,60,50,65.2666666666667
490,Romania,2010,378044.59375,49710.4991913698,1168039.08091218,64.2,40,38,39,85.8,59.8,72.8,72.5,73.3,68.7333333333333,87.5,75,50,70.8333333333333
491,Romania,2011,377451.375,49181.1406934678,1211895.50793517,64.7,40,38,39,86.8,57.6,72.2,72,74.4,69.0666666666667,87.6,80,50,72.5333333333333
492,Romania,2012,397241.375,48907.1109988685,1258175.36134359,64.4,40,37,38.5,87.4,55.1,71.25,70.5,74.3,69.1333333333333,87.1,80,50,72.3666666666667
493,Romania,2013,397416.875,48746.327725906,1296464.24881541,65.1,40,36,38,87.9,62.2,75.05,70.4,74.7,69.5333333333334,86.8,80,50,72.2666666666667
494,Romania,2014,407227.875,49031.7410861602,1336099.62343793,65.5,40,37.7,38.85,87,59.2,73.1,71,77.1,71.1,87.8,80,50,72.6
495,Romania,2015,429855.6875,48693.6213479899,1383334.51273755,66.6,40,43,41.5,86.9,62.3,74.6,69.8,77.3,71.9,88,80,50,72.6666666666667
496,Romania,2016,451741.8125,49126.2427180909,1431965.18049059,65.6,35,43,39,87.5,65.6,76.55,66.1,81.1,70.7666666666667,88,75,50,71
497,Romania,2017,499683.65625,50070.3605378314,1484431.78544194,69.7,63.9,45.9,56.1,87.4,65.3,81.2,65.9,83.6,70.6666666666667,87,75,50,70.6666666666667
498,Romania,2018,516810.5,50533.7480479507,1534529.57434431,69.4,61,40,53.5666666666667,87.3,66.9,81.7666666666667,65.2,82.8,71.6,86.9,75,50,70.6333333333333
499,Romania,2019,540045.75,50905.0617623013,1608272.39612557,68.6,66.7,39.8,52.8,89.7,69,82.6666666666667,63.1,82.7,70.1,86,70,50,68.6666666666667
500,Slovakia,2000,89552.703125,12063.6915288696,429721.845706409,53.8,50,39,44.5,54.8,25,39.9,70,73.9,71.95,71.2,50,50,57.0666666666667
501,Slovakia,2001,94552.9140625,12231.7309029683,439107.440807568,58.5,50,37,43.5,59.3,39.3,49.3,70,70.8,70.4,80.2,70,50,66.7333333333333
502,Slovakia,2002,96160.2734375,12102.8412327325,447817.126199452,59.8,50,35,42.5,61.1,33.7,47.4,70,68.8,69.4,79.8,70,70,73.2666666666667
503,Slovakia,2003,96839.5,12017.9774252704,454686.587918319,59,50,37,43.5,67.5,22.3,44.9,70,71.3,70.65,72.8,70,70,70.9333333333333
504,Slovakia,2004,97362.34375,12483.3603930578,462922.705312781,64.6,50,37,43.5,68.5,42.4,55.45,70,80.8,75.4,72.8,70,90,77.6
505,Slovakia,2005,111117.8203125,13068.8695716087,475761.375457618,66.8,50,37,43.5,81.9,42.4,62.15,70,78,74.5666666666667,72.8,70,90,77.6
506,Slovakia,2006,118124.6015625,13466.5343276962,490224.737107171,69.8,50,40,45,89.5,52.5,71,69.3,77.8,74.6,82.4,70,90,80.8
507,Slovakia,2007,127734.1640625,13966.679110821,507711.8479627,69.6,50,43,46.5,89.5,53.7,71.6,70.7,76.6,74.4666666666667,86.6,70,80,78.8666666666667
508,Slovakia,2008,141015.71875,14520.1965937496,525272.76808466,69.99070873,50,47,48.5,89.4311,53.9008,71.66595,69.53884785,76.89288057,74.51057614,86,70,80,78.6666666666667
509,Slovakia,2009,133371.078125,14213.0057478484,533733.681000803,69.3657562,50,49,49.5,84.0775,57.3613,70.7194,73.36969573,78.7,75.7898985766667,85.8,70,70,75.2666666666667
510,Slovakia,2010,146741.875,14282.9938357024,544518.043396207,69.7,55,50,52.5,84,64.5,74.25,72.6,78.2,71.9666666666667,87.5,70,70,75.8333333333333
511,Slovakia,2011,148675.609375,14531.2447583686,559317.189931262,69.5,50,45,47.5,84.2,63.7,73.95,73.4,81.6,73.1666666666667,87.6,75,70,77.5333333333333
512,Slovakia,2012,149614.1875,14597.7449357846,569297.766078678,67,50,43,46.5,84.2,48.2,66.2,71,83.5,70.8666666666667,87.1,75,70,77.3666666666667
513,Slovakia,2013,144107.6875,14445.5893725607,579404.103253928,68.7,50,40,45,84.7,58,71.35,71,79.1,74.1,86.8,75,70,77.2666666666667
514,Slovakia,2014,149792.734375,14656.8345072195,589814.135668707,66.4,50,41.8,45.9,80.2,56,68.1,67,78.1,66.2333333333333,87.8,80,70,79.2666666666667
515,Slovakia,2015,150161.828125,15009.4159817725,607415.889013549,67.2,50,47,48.5,80.8,55.1,67.95,69.6,75.5,67.2,88,80,70,79.3333333333333
516,Slovakia,2016,143673.125,15350.0179528321,619153.974193053,66.6,50,50,50,80.1,49.5,64.8,68.4,79.5,67.6333333333333,88,75,70,77.6666666666667
