Index,country,year,rgdpo,Lnrgdpo,labor_stock,capital_stock,capital_labor_ratio,Lncap_lab_ratio,Overall_Score,Property_Rights,Judicial_Effectiveness,Government_Integrity,Rule_of_law,Tax_Burden,Government_Spending,Fiscal_Health,Government_size,Business_Freedom,Labor_Freedom,Monetary_Freedom,Regulatory_efficiency,Trade_Freedom,Investment_Freedom,Financial_Freedom,Market_openness
277,Iceland,2017,16667.591796875,9.72122150201417,909.938023216803,81207.2118124367,89.2447724355488,4.49138284679362,74.4,85,71.5,71.5,76,70.9,41.1,90.6,67.5333333333333,90.2,62.6,81.2,78,88,80,60,76
278,Iceland,2018,16951.724609375,9.73812485449852,916.366092415408,82765.5779314645,90.3193370166136,4.50335157943153,77,86.7,72.6,77.3,78.8666666666667,72.1,44.2,94.3,70.2,89.5,61.8,81.7,77.6666666666667,88.5,85,70,81.1666666666667
279,Iceland,2019,17972.625,9.79660504590409,918.220242349082,84050.7886256584,91.5366322252179,4.5167392443501,77.1,87.4,63.8,83.8,78.3333333333333,72.7,44,96.7,71.1333333333333,88.4,64.1,81.7,78.0666666666667,87,85,70,80.6666666666667
280,Ireland,2000,150364.546875,11.9208179371451,9322.7350574331,621263.290829625,66.6395952477794,4.19929892412735,76.1,90,,82,86,60.6,63.3,,61.95,85,,85.8,85.4,78,70,70,72.6666666666667
281,Ireland,2001,161672.5625,11.9933283496587,9620.4508109996,661763.430016236,68.787153847261,4.23101701016912,81.2,90,,77,83.5,63,71.2,,67.1,85,,86.6,85.8,78,90,90,86
282,Ireland,2002,181303.34375,12.107926839761,9732.94237926113,703435.408912565,72.2736641708102,4.28045980514164,80.5,90,,72,81,66.5,69.3,,67.9,85,,81.8,83.4,79.6,90,90,86.5333333333334
283,Ireland,2003,198060.453125,12.1963275818895,9900.96176948323,748489.412006047,75.5976469188118,4.32542515728854,80.9,90,,75,82.5,69.4,66.3,,67.85,85,,81.2,83.1,81.4,90,90,87.1333333333333
284,Ireland,2004,209840.546875,12.2541032206897,10246.8482716529,798728.957251967,77.9487444409212,4.35605148813765,80.3,90,,69,79.5,71.8,66.3,,69.05,85,,81.1,83.05,79.8,90,90,86.6
285,Ireland,2005,231393.453125,12.3518748008825,10843.7404170204,859476.169561138,79.2601202636776,4.37273510509242,80.8,90,,75,82.5,72.6,64.5,,68.55,85,78.2,82.5,81.9,80.2,90,90,86.7333333333333
286,Ireland,2006,238354,12.3815122425354,11321.2054552824,923092.46071497,81.536587632924,4.40105184752012,82.2,90,,75,82.5,72,64.7,,68.35,93.7,79.6,84.4,85.9,82.4,90,90,87.4666666666667
287,Ireland,2007,260283.015625,12.4695248396222,11718.9461545323,983412.201772126,83.9164365809285,4.4298215010908,82.6,90,,74,82,71.7,65.9,,68.8,92.1,80.6,85.3,86,86.6,90,90,88.8666666666667
288,Ireland,2008,248413.34375,12.422849346399,11588.3440657036,1030440.60662575,88.9204359814791,4.48774199215954,82.50433462,90,,74,82,71.495,64.4992,,67.9971,93.04025281,81.1,84.90841641,86.3495564066667,86,90,90,88.6666666666667
289,Ireland,2009,237668.078125,12.3786303495256,10636.1804792108,1060159.73676294,99.6748540357227,4.60191342886427,82.20090549,90,,75,82.5,69.2375,64.9108,,67.07415,92.99975922,79.7,84.34227451,85.68067791,85.8,90,90,88.6
290,Ireland,2010,241319.515625,12.3938771253631,9825.95343458247,1075991.75402589,109.505073598144,4.69597088241278,81.3,90,,77,83.5,71.1,61.8,,66.45,92.8,79,79,83.6,87.5,95,80,87.5
291,Ireland,2011,246609.625,12.4155618997698,9790.37735511943,1089825.29641318,111.31596432729,4.7123726831016,78.7,90,,80,85,72.1,47.1,,59.6,92,77.5,80.7,83.4,87.6,90,70,82.5333333333333
292,Ireland,2012,250748.765625,12.4322067830803,9792.8735800436,1111683.06043864,113.519596812123,4.73197548115523,76.9,90,,80,85,73.9,30.4,,52.15,92.8,78.4,76.7,82.6333333333333,87.1,90,70,82.3666666666667
293,Ireland,2013,250350.484375,12.4306171525475,10132.3239127025,1127574.33971905,111.284869042279,4.71209330153108,75.7,90,,75,82.5,73.8,28.8,,51.3,83.4,76.6,82.8,80.9333333333333,86.8,90,70,82.2666666666667
294,Ireland,2014,270237.5625,12.5070567122407,10493.6994466883,1155104.63281327,110.076016440304,4.70117118566963,76.2,90,,74.8,82.4,74,30.6,,52.3,83.4,79.5,81.7,81.5333333333334,87.8,90,70,82.6
295,Ireland,2015,353539,12.7757490835516,10974.3156195971,1217928.39312406,110.979894814505,4.70934905710946,76.6,85,,72,78.5,73.6,45.6,,59.6,82.1,76.2,83.9,80.7333333333333,88,90,70,82.6666666666667
296,Ireland,2016,381243.1875,12.8511927378917,11372.4716547872,1327778.11375381,116.753697354338,4.76006656503546,77.3,90,,74,82,73.6,50.3,,61.95,79.6,72.1,85.5,79.0666666666667,88,90,70,82.6666666666667
297,Ireland,2017,412625.75,12.9302962867849,11874.0069630189,1418542.74733085,119.466221617424,4.78303366712515,76.7,85.8,78.3,78.3,80.8,72.7,57.1,60.3,63.3666666666667,80.3,73.6,87.6,80.5,87,90,70,82.3333333333333
298,Ireland,2018,441620.21875,12.9982055581098,12407.2903998345,1488832.40397946,119.996579107983,4.78746323494223,80.4,87.7,79,79,81.9,76.1,69.6,80.8,75.5,81.8,76.4,87.4,81.8666666666667,86.9,90,70,82.3
299,Ireland,2019,501053.59375,13.1244683478986,12759.4715229433,1668409.06767045,130.758477313925,4.87335193689623,80.5,85.8,68.4,78,77.4,76.3,77.4,89,80.9,83.1,75.3,87,81.8,86,90,70,82
300,Italy,2000,2046561.75,14.5316717479263,117524.968862985,12939533.9155077,110.100296479066,4.70139173654123,61.9,70,,46,58,45.6,22,,33.8,70,,85.7,77.85,77.8,70,70,72.6
301,Italy,2001,2047270.5,14.532018000515,120272.574241294,13250435.2576623,110.170047837165,4.70202506156414,63,70,,47,58.5,47.1,28,,37.55,70,,86.5,78.25,78,70,70,72.6666666666667
302,Italy,2002,2019462.75,14.5183420686558,122962.236839174,13577186.7272314,110.417532050831,4.7042689260431,63.6,70,,46,58,48,33.7,,40.85,70,,85.5,77.75,79.6,70,70,73.2
303,Italy,2003,2028394.5,14.5227551514026,125260.495004309,13884891.4264967,110.848128342612,4.70816105132448,64.3,70,,55,62.5,48,29.4,,38.7,70,,84.7,77.35,81.4,70,70,73.8
304,Italy,2004,2040372.75,14.5286430697173,126996.700982869,14196900.8251667,111.789524572625,4.7166178584118,64.2,70,,52,61,49.7,31.7,,40.7,70,,84.8,77.4,79.8,70,70,73.2666666666667
305,Italy,2005,2123677.25,14.5686596959372,128569.297475451,14509884.4759226,112.856527653448,4.72611734521892,64.9,70,,53,61.5,49.6,27.4,,38.5,70,74.5,84.7,76.4,80.2,70,70,73.4
306,Italy,2006,2202942.75,14.6053046381567,132382.671641507,14830199.5455025,112.025232317888,4.71872413447401,62,50,,48,49,52,29.1,,40.55,78.4,74.6,85.2,79.4,82.4,70,50,67.4666666666667
307,Italy,2007,2307500.75,14.6516755703862,135297.494497925,15148679.7096433,111.965707612388,4.71819264237956,62.8,50,,50,50,52.8,31.5,,42.15,77,74.4,80.5,77.3,81.6,70,60,70.5333333333333
308,Italy,2008,2359304.75,14.6738775361418,135323.972966582,15424423.3697335,113.981455255844,4.73603576196743,62.57384268,50,,49,49.5,54.2984,29.4325,,41.86545,76.95889845,74.5,80.59190122,77.3502665566667,81,70,60,70.3333333333333
309,Italy,2009,2266004,14.6335284857936,131617.401166394,15610421.1255126,118.60453851218,4.77579475321914,61.41478683,50,,52,51,55.7999,24.6997,,40.2498,78.6758541,61.3,80.83366268,73.60317226,80.8,70,60,70.2666666666667
310,Italy,2010,2293011,14.6453763590374,132005.910315203,15796915.3413912,119.668242911786,4.78472327169821,62.7,55,,48,51.5,55.2,31.2,,43.2,77.9,58.2,79,71.7,87.5,75,60,74.1666666666667
311,Italy,2011,2351126.5,14.6704051329654,133182.96465172,15965946.8975488,119.87979798543,4.78648955730715,60.3,50,,43,46.5,55.4,28.6,,42,77.3,44.4,82.1,67.9333333333333,87.6,75,60,74.2
312,Italy,2012,2301511,14.6490764217196,130951.413701411,16060115.9450468,122.641791265166,4.80926784033724,58.8,50,,39,44.5,55,19.4,,37.2,77.4,43,82,67.4666666666667,87.1,75,60,74.0333333333333
313,Italy,2013,2246689.25,14.6249682460986,127403.76085247,16110922.3378054,126.455626034944,4.8398914642966,60.6,50,,39,44.5,55.5,25.3,,40.4,76.9,52,80.2,69.7,86.8,80,60,75.6
314,Italy,2014,2232717.75,14.6187301233706,127384.742130439,16150424.9918559,126.784611106079,4.84248967112125,60.9,50,,38.5,44.25,55.5,25.6,,40.55,75.5,52.5,78.9,68.9666666666667,87.8,85,60,77.6
315,Italy,2015,2241117,14.6224849602556,129536.904949515,16200583.3073405,125.065388227814,4.82883670635266,61.7,55,,43,49,54.2,23.2,,38.7,71.9,55.4,81.2,69.5,88,85,60,77.6666666666667
316,Italy,2016,2351041.25,14.6703688730935,132797.996411964,16272191.7987489,122.533413442998,4.80838375559176,61.2,50,,43,46.5,55.8,22.1,,38.95,70.3,53,84.5,69.2666666666667,88,85,60,77.6666666666667
317,Italy,2017,2436383.25,14.7060252230234,135159.299113628,16357081.3190131,121.020761621897,4.79596211452999,62.5,74.6,55.4,44.7,58.2333333333333,54.9,22.3,66.9,48.0333333333333,69.8,52.9,86.9,69.8666666666667,87,85,50,74
318,Italy,2018,2458235.75,14.7149544758189,137461.925137879,16455054.8763731,119.706274009098,4.7850410256356,62.5,71.2,60.9,40.1,57.4,55.2,24.1,68.2,49.1666666666667,70.3,50.3,88.2,69.6,86.9,85,50,73.9666666666667
319,Italy,2019,2466327.5,14.7182407600523,138874.945336761,16557477.1993901,119.225805340477,4.78101921895684,62.2,71.7,49.8,43.7,55.0666666666667,55.6,26.5,71.3,51.1333333333333,71.7,51.1,84,68.9333333333333,86,85,50,73.6666666666667
320,Latvia,2000,28260.009765625,10.249203001802,5200.10475192246,319831.037137671,61.5047296921145,4.11911407741823,63.4,50,,27,38.5,76.8,47.1,,61.95,70,,78.5,74.25,81,70,70,73.6666666666667
321,Latvia,2001,30325.771484375,10.3197531740286,5376.0492622536,325722.804456865,60.5877640935761,4.10409296004091,66.4,50,,34,42,75.5,65.3,,70.4,70,,83.2,76.6,80,70,70,73.3333333333333
322,Latvia,2002,31348.435546875,10.3529196420049,5370.76514323196,329650.674374918,61.3787171070646,4.11706314814333,65,50,,34,42,76.8,49.6,,63.2,70,,84.4,77.2,80,70,70,73.3333333333333
323,Latvia,2003,31995.59765625,10.3733535990756,5416.10243002867,333791.953808752,61.629549684677,4.12114145819226,66,50,,34,42,78.3,58,,68.15,70,,84.9,77.45,78.6,70,70,72.8666666666667
